object	source_file	source_line	linkage_type	size_hex	symbol
ps2vnc_services.o	ps2vnc_calibration_core.inc	295	T	000005fc	ps2vnc_display_transaction_startup_preflight
ps2vnc_services.o	ps2vnc_calibration_core.inc	357	T	000000b4	ps2vnc_startup_prepare_display_transaction
ps2vnc_services.o	ps2vnc_calibration_core.inc	406	T	0000051c	ps2vnc_startup_connect_reconciled
ps2vnc_services.o	ps2vnc_calibration_core.inc	996	T	000000cc	ps2vnc_config_get_display_for_mode
ps2vnc_services.o	ps2vnc_calibration_core.inc	1043	T	00000130	ps2vnc_config_presented_geometry_for_mode
ps2vnc_services.o	ps2vnc_calibration_core.inc	1134	T	00000388	ps2vnc_startup_apply_authoritative_profile
ps2vnc_services.o	ps2vnc_calibration_core.inc	1293	T	00000370	ps2vnc_config_load_from_pi
ps2vnc_services.o	ps2vnc_calibration_core.inc	1494	T	000000d8	debug_emit_geometry_snapshot
ps2vnc_services.o	ps2vnc_calibration_core.inc	1551	T	00000108	screen_fit_clamp_interactive
ps2vnc_services.o	ps2vnc_calibration_core.inc	1593	T	0000009c	screen_fit_prim_sprite
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	69	t	000001a0	screen_fit_draw_text_centered.constprop.0
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	142	t	000001d8	screen_fit_draw_corner_marker.constprop.0
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	414	T	000009a8	run_screen_fit_calibration
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	714	T	00000198	calculate_presented_desktop_geometry
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	804	T	000000d8	ps2vnc_controller_pad_acquire
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	852	T	00000088	ps2vnc_controller_pad_release
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1025	T	00000494	ps2vnc_run_runtime_calibration
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1246	T	00000214	ps2vnc_display_create
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1273	t	000000a0	ps2vnc_display_release_ee_buffers
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1317	T	00000060	ps2vnc_display_wait_presentation_memory_idle
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1343	T	00000058	ps2vnc_display_wait_texture_idle
ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	1370	T	00000070	ps2vnc_display_finish_draw
